2023-06-14 17:26:30.912 [info] Log level: Info
2023-06-14 17:26:30.912 [info] Validating found git in: "git"
2023-06-14 17:26:30.912 [info] Using git "2.34.1" from "git"
2023-06-14 17:26:30.912 [info] > git rev-parse --show-toplevel [38ms]
2023-06-14 17:26:30.912 [info] > git rev-parse --show-toplevel [19ms]
2023-06-14 17:26:30.912 [info] > git rev-parse --show-toplevel [6ms]
2023-06-14 17:26:30.912 [info] > git rev-parse --show-toplevel [5ms]
2023-06-14 17:26:30.914 [info] > git rev-parse --show-toplevel [45ms]
2023-06-14 17:48:22.546 [info] > git rev-parse --show-toplevel [110ms]
2023-06-14 17:48:36.769 [info] > git rev-parse --show-toplevel [5ms]
2023-06-14 17:48:53.299 [info] > git rev-parse --show-toplevel [4ms]
2023-06-14 17:49:47.714 [info] > git rev-parse --show-toplevel [5ms]
