2023-06-12 18:17:18.863 [info] Log level: Info
2023-06-12 18:17:18.863 [info] Validating found git in: "git"
2023-06-12 18:17:18.863 [info] Using git "2.34.1" from "git"
2023-06-12 18:17:18.863 [info] > git rev-parse --show-toplevel [14ms]
2023-06-12 18:17:18.863 [info] > git rev-parse --show-toplevel [2ms]
2023-06-12 18:17:18.863 [info] > git rev-parse --show-toplevel [6ms]
2023-06-12 18:17:18.866 [info] > git rev-parse --show-toplevel [23ms]
2023-06-12 18:17:25.550 [info] > git rev-parse --show-toplevel [103ms]
2023-06-12 18:17:36.396 [info] > git rev-parse --show-toplevel [2ms]
2023-06-12 18:18:26.109 [info] > git rev-parse --show-toplevel [11ms]
2023-06-12 18:19:22.367 [info] > git rev-parse --show-toplevel [61ms]
2023-06-12 18:23:41.442 [info] > git rev-parse --show-toplevel [3ms]
2023-06-12 18:23:52.161 [info] > git rev-parse --show-toplevel [3ms]
2023-06-12 19:07:39.978 [info] > git rev-parse --show-toplevel [9ms]
2023-06-12 19:18:18.817 [info] > git rev-parse --show-toplevel [55ms]
2023-06-12 19:19:44.226 [info] > git rev-parse --show-toplevel [4ms]
2023-06-12 19:25:25.579 [info] > git rev-parse --show-toplevel [6ms]
2023-06-12 19:25:39.268 [info] > git rev-parse --show-toplevel [15ms]
2023-06-12 19:32:21.553 [info] > git rev-parse --show-toplevel [4ms]
2023-06-12 19:32:22.374 [info] > git rev-parse --show-toplevel [7ms]
